customer_id,customer_id,age,gender,occupation,income
1093,cust_1093,18,Male,Freelance,High
1125,cust_1125,18,Other,Student,Low
1164,cust_1164,18,Female,Freelance,Medium
1237,cust_1237,18,Male,Part-time,Low
1381,cust_1381,18,Female,Student,Low
1436,cust_1436,18,Male,Student,Low
1469,cust_1469,18,Male,Student,Low
1502,cust_1502,18,Female,Part-time,Low
1599,cust_1599,18,Male,Student,Low
1636,cust_1636,18,Male,Student,Low
1693,cust_1693,18,Female,Student,Low
1704,cust_1704,18,Male,Student,Low
1708,cust_1708,18,Female,Freelance,Medium
1728,cust_1728,18,Female,Freelance,Medium
1803,cust_1803,18,Male,Part-time,Low
1816,cust_1816,18,Male,Student,Low
1896,cust_1896,18,Male,Student,Low
1898,cust_1898,18,Male,Student,Low
1906,cust_1906,18,Other,Freelance,High
1921,cust_1921,18,Male,Student,Low
1925,cust_1925,18,Male,Freelance,Medium
1958,cust_1958,18,Male,Student,Low
1984,cust_1984,18,Male,Freelance,Medium
1988,cust_1988,18,Female,Student,Low
2017,cust_2017,18,Male,Student,Low
2166,cust_2166,18,Female,Part-time,Low
2208,cust_2208,18,Male,Part-time,Low
2293,cust_2293,18,Male,Part-time,Low
2323,cust_2323,18,Male,Freelance,Medium
2384,cust_2384,18,Female,Part-time,Low
2430,cust_2430,18,Male,Freelance,Medium
2467,cust_2467,18,Male,Student,Low
2494,cust_2494,18,Female,Student,Low
2505,cust_2505,18,Male,Part-time,Low
2521,cust_2521,18,Male,Freelance,Medium
2535,cust_2535,18,Male,Part-time,Low
2640,cust_2640,18,Female,Freelance,Medium
2643,cust_2643,18,Male,Part-time,Low
2726,cust_2726,18,Female,Freelance,Medium
2852,cust_2852,18,Male,Freelance,High
2919,cust_2919,18,Male,Part-time,Low
2968,cust_2968,18,Male,Student,Low
3012,cust_3012,18,Female,Freelance,Medium
3085,cust_3085,18,Male,Student,Low
3112,cust_3112,18,Male,Part-time,Low
3118,cust_3118,18,Female,Freelance,Medium
3212,cust_3212,18,Female,Part-time,Low
